Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
EVK,Ever,"Ever-Glory International Group, Inc. - Common Stock",G,N,N,100
EVLV,EVINE Live Inc.,EVINE Live Inc. - Common Stock,Q,N,N,100
EVOK,"Evoke Pharma, Inc.","Evoke Pharma, Inc. - Common Stock",S,N,N,100
EVOL,"Evolving Systems, Inc.","Evolving Systems, Inc. - Common Stock",S,N,N,100
EVRY,"EveryWare Global, Inc.","EveryWare Global, Inc. - Common Stock",G,N,D,100
EWBC,"East West Bancorp, Inc.","East West Bancorp, Inc. - Common Stock",Q,N,N,100
EXA,Exa Corporation,Exa Corporation - Common Stock,G,N,N,100
EXAC,"Exactech, Inc.","Exactech, Inc. - Common Stock",Q,N,N,100
EXAS,Exact Sciences Corporation,Exact Sciences Corporation - Common Stock,S,N,N,100
EXEL,"Exelixis, Inc.","Exelixis, Inc. - Common Stock",Q,N,N,100
EXFO,EXFO Inc,EXFO Inc - Subordinate Voting Shares,Q,N,N,100
EXLP,"Exterran Partners, L.P.","Exterran Partners, L.P. - Common Units representing Limited Partner Interests",Q,N,N,100
EXLS,"ExlService Holdings, Inc.","ExlService Holdings, Inc. - Common Stock",Q,N,N,100
EXPD,"Expeditors International of Washington, Inc.","Expeditors International of Washington, Inc. - Common Stock",Q,N,N,100
EXPE,"Expedia, Inc.","Expedia, Inc. - Common Stock",Q,N,N,100
EXPO,"Exponent, Inc.","Exponent, Inc. - Common Stock",Q,N,N,100
EXTR,"Extreme Networks, Inc.","Extreme Networks, Inc. - Common Stock",Q,N,N,100
EXXI,Energy XXI Ltd.,Energy XXI Ltd. - Common Stock,Q,N,N,100
EYES,"Second Sight Medical Products, Inc.","Second Sight Medical Products, Inc. - Common Stock",S,N,N,100
EZCH,EZchip Semiconductor Limited,EZchip Semiconductor Limited - Ordinary Shares,Q,N,N,100
EZPW,"EZCORP, Inc.","EZCORP, Inc. - Class A Non-Voting Common Stock",Q,N,N,100
FALC,"FalconStor Software, Inc.","FalconStor Software, Inc. - Common Stock",G,N,N,100
FANG,"Diamondback Energy, Inc.","Diamondback Energy, Inc. - Commmon Stock",Q,N,N,100
FARM,Farmer Brothers Company,Farmer Brothers Company - Common Stock,Q,N,N,100
FARO,"FARO Technologies, Inc.","FARO Technologies, Inc. - Common Stock",Q,N,N,100
FAST,Fastenal Company,Fastenal Company - Common Stock,Q,N,N,100
FATE,"Fate Therapeutics, Inc.","Fate Therapeutics, Inc. - Common Stock",G,N,N,100
FB,"Facebook, Inc.","Facebook, Inc. - Class A Common Stock",Q,N,N,100
